SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL
25913,"5004390","1","Nexo Knights","Miscellaneous","2016","{Exclusive Minifigure}",,,,,,,
25865,"5004391","1","Ninjago","Skybound","2016","Sky Pirates Battle",,32,,,,,"http://images.brickset.com/sets/images/5004391-1.jpg"
25866,"5004395","1","Friends","Accessories","2016","Jewellery and Sticker Pack",,16,,,,,"http://images.brickset.com/sets/images/5004395-1.jpg"
25867,"5004401","1","Duplo","","2016","Wildlife Puzzle",,3,,,,,"http://images.brickset.com/sets/images/5004401-1.jpg"
25868,"5004403","1","Gear","Playmats","2016","Playmat",,,,,,,"http://images.brickset.com/sets/images/5004403-1.jpg"
25869,"5004404","1","City","Police","2016","Police Chase",,37,,,,,"http://images.brickset.com/sets/images/5004404-1.jpg"
25870,"5004406","1","Star Wars","The Force Awakens","2016","First Order General",,4,,,,,"http://images.brickset.com/sets/images/5004406-1.jpg"
25871,"5004409","1","Bionicle","Packs","2016","Accessory pack",,5,,,,,"http://images.brickset.com/sets/images/5004409-1.jpg"
25901,"5004612","1","Gear","Watches/Clocks","2016","Lucy Wyldstyle Minifigure Link Watch",,,,24.99,24.99,,"http://images.brickset.com/sets/images/5004612-1.jpg"
25952,"5004833","1","Education","","2016","WeDo 2.0 ReadyGo Classroom Packs",,,,,,,"http://images.brickset.com/sets/images/5004833-1.jpg"
25951,"5004837","1","Education","","2016","WeDo 2.0 YouCreate Classroom Packs",,,,,,,"http://images.brickset.com/sets/images/5004837-1.jpg"
25958,"5004838","1","Education","","2016"," WeDo 2.0 Add-On Power Pack",,,,,,,"http://images.brickset.com/sets/images/5004838-1.jpg"
25959,"5005011","1","Gear","Watches/Clocks","2016","Anakin Skywalker Minifigure Watch",,,19.99,,,24.99,"http://images.brickset.com/sets/images/5005011-1.jpg"
25960,"5005015","1","Gear","Watches/Clocks","2016","Classic Minifigure Link Watch",,,19.99,,,24.99,"http://images.brickset.com/sets/images/5005015-1.jpg"
25961,"5005017","1","Gear","Watches/Clocks","2016","Yoda Minifigure Watch",,,19.99,,,24.99,"http://images.brickset.com/sets/images/5005017-1.jpg"
25962,"5005018","1","Gear","Watches/Clocks","2016","Luke Skywalker Watch",,,19.99,,,24.99,"http://images.brickset.com/sets/images/5005018-1.jpg"
26060,"5005051","1","Gear","Digital Media","2016","Friends of Heartlake City Girlz 4 Life",,,,19.99,,,
26056,"5005057","1","Gear","Video Games/XBOX 360","2016","Marvel Avengers XBOX 360 Video Game",,,,49.99,,,"http://images.brickset.com/sets/images/5005057-1.jpg"
26057,"5005058","1","Gear","Video Games/Wii U","2016","Marvel Avengers Wii U Video Game",,,,49.99,,,"http://images.brickset.com/sets/images/5005058-1.jpg"
26058,"5005059","1","Gear","Video Games/PS3","2016","Marvel Avengers PS3 Video Game",,,,49.99,,,"http://images.brickset.com/sets/images/5005059-1.jpg"
26059,"5005060","1","Gear","Video Games/3DS","2016","Marvel Avengers Nintendo 3DS Video Game",,,,29.99,,,"http://images.brickset.com/sets/images/5005060-1.jpg"
25851,"B0189OU0JY","1","Gear","Digital media","2016","LEGO Star Wars: Droid Tales",,,,19.99,,,"http://images.brickset.com/sets/images/B0189OU0JY-1.jpg"
26030,"FR561601","1","Friends","Magazine gift","2016","Parrot and Nest",,,,,,,
26013,"ISBN0241232481","1","Books","Dorling Kindersley","2016","Ninjago Character Encyclopedia Updated Edition",,,,,,,
26014,"ISBN0750967579","1","Books","The History Press","2016","Brick History: Amazing Historical Scenes to Build from LEGO",,,,,,,"http://images.brickset.com/sets/images/ISBN0750967579-1.jpg"
26015,"ISBN143800754X","1","Books","Barron's Educational Series","2016","Brick History: A Brick History of the World in LEGO (US Edition)",,,,,,,"http://images.brickset.com/sets/images/ISBN143800754X-1.jpg"
26008,"ISBN1440246998","1","Books","Krause Publications","2016","The Ultimate Guide to Collectible Minifigures",,,,,,,
26012,"ISBN1465449671","1","Books","Dorling Kindersley","2016","Star Wars: Chronicles of the Force",,,,,,,
26009,"ISBN1465450459","1","Books","Dorling Kindersley","2016","LEGO Star Wars: Build Your Own Adventure",,,,,,,
26010,"ISBN1465450467","1","Books","Dorling Kindersley","2016","LEGO City: Build Your Own Adventure",,,,,,,
26011,"ISBN1593277350","1","Books","No Starch Press","2016","Tiny LEGO Wonders: Build 42 Impressive Miniscale Models",,,,,,,"http://images.brickset.com/sets/images/ISBN1593277350-1.jpg"
25776,"ISBN1631590790","1","Books","Quarry","2016","Birds from Bricks: Designs That Make LEGO Take Flight",,,,,,,"http://images.brickset.com/sets/images/ISBN1631590790-1.jpg"
25925,"NIN891508","1","Ninjago","Magazine Gift","2016","Anacondrai Hideout",,,,,,,"http://images.brickset.com/sets/images/NIN891508-1.jpg"
26043,"NIN891609","1","Ninjago","Magazine Gift","2016","Kai",,,,,,,"http://images.brickset.com/sets/images/NIN891609-1.jpg"
26061,"NIN891610","1","Ninjago","Magazine Gift","2016","Clouse",,,,,,,
25924,"SW911607","1","Star Wars","Magazine Gift","2016","Millennium Falcon",,,,,,,"http://images.brickset.com/sets/images/SW911607-1.jpg"
26042,"SW911608","1","Star Wars","Magazine Gift","2016","Landspeeder",,,,,,,"http://images.brickset.com/sets/images/SW911608-1.jpg"
